"marca","nombre_fantasia","denominacion","RNPA"
"Cremigal","Suero de queso en polvo parcialmente desmineralizado","Suero de queso en polvo parcialmente desmineralizado libre de gluten","025/08000161/048"
"Don Pascual","No registra","Suero de queso en polvo, parcialmente desmineralizado (40%) - No higroscópico - Libre de gluten","02-567725"
"Dulcor","No registra","Cereza coloreada en agua – Uso industrial exclusivo – Libre de gluten","13041319"
"Dulcor","No registra","Cerezas en almíbar con sabor al marraschino – Uso industrial exclusivo – Libre de gluten","13034092"
"Dulcor","No registra","Fruta escurrida: cereza – Uso industrial exclusivo – Libre de gluten","13042739"
"Dulcor","No registra","Pulpa aséptica de damasco – Uso industrial exclusivo – Libre de gluten","13029284"
"Dulcor","No registra","Pulpa aséptica de pera – Uso industrial exclusivo – Libre de gluten","13029286"
"Dulcor","No registra","Pulpa aséptica de tomate – Uso industrial exclusivo – Libre de gluten","13030862"
"Dulcor","No registra","Pulpa concentrada de manzana 30 – 32º Brix – Uso industrial exclusivo – Libre de gluten","13040332"
"Dulcor","No registra","Pulpa concentrada de membrillo – Uso industrial exclusivo Libre de gluten","13037780"
"Dulcor","No registra","Pulpa concentrada de zapallo 14/18º Brix – Uso industrial exclusivo – Libre de gluten","13032924"
"Dulcor","No registra","Pulpa de ciruela concentrada 15-18º Brix – Uso industrial exclusivo – Libre de gluten","13028771"
"Dulcor","No registra","Pulpa de ciruela concentrada 30-32º Brix – Uso industrial exclusivo – Libre de gluten","13028742"
"Dulcor","No registra","Pulpa de durazno concentrada 30-32º Brix – Uso industrial exclusivo – Libre de gluten","13028685"
"Dulcor","No registra","Pulpa de durazno concentrada 9-15º Brix – Uso industrial exclusivo – Libre de gluten","13028688"
"Dulcor","No registra","Pulpa de pera concentrada 12-16º Brix – Uso industrial exclusivo – Libre de gluten","13041810"
"Dulcor","No registra","Pulpa sulfitada de damasco – Uso industrial exclusivo – Libre de gluten","13029285"
"Dulcor","No registra","Pulpa sulfitada de manzana – Uso industrial exclusivo – Libre de gluten","13029282"
"Dulcor","No registra","Pulpa sulfitada de membrillo – Uso industrial exclusivo libre de gluten","13029283"
"El Primo","No registra","Suero dulce de queso en polvo (de ricotta) - Libre de gluten","02-502884"
"Establecimiento Avícola Las Acacias S.A.","No registra","Albúmina de huevo líquido pasteurizado - Libre de gluten","02-608999"
"Establecimiento Avícola Las Acacias S.A.","No registra","Albúmina en polvo - Libre de gluten","02-607755"
"Establecimiento Avícola Las Acacias S.A.","No registra","Huevo entero en polvo- Libre de gluten","02-607757"
"Establecimiento Avícola Las Acacias S.A.","No registra","Huevo entero líquido pasteurizado - Libre de gluten","02-607762"
"Establecimiento Avícola Las Acacias S.A.","No registra","Yema de huevo en polvo - Libre de gluten","02-607808"
"Establecimiento Avícola Las Acacias S.A.","No registra","Yema de huevo líquida pasteurizada - Libre de gluten","02-607756"
"Formidable","No registra","Suero de queso en polvo desmineralizado 90% libre de gluten","025/080000019-3-7/141"
"Formidable","No registra","Suero de queso en polvo libre de gluten","025/080000019-3-7/111"
"Fortuna","No registra","Suero de queso en polvo parcialmente desmineralizado (40%) no higroscópico, libre de gluten","02-519554"
"Fortuna","No registra","Suero de queso en polvo - Uso industrial - Libre de gluten","02-600074"
"Frunat","No registra","Fruta escurrida - Uso industrial exclusivo - Libre de gluten","13040440"
"Frunat","No registra","Fruta escurrida: naranja - Uso industrial exclusivo - Libre de gluten","13045817"
"Glucovil","Almidón de maíz baja humedad uso alimenticio libre de gluten","Almidón libre de gluten","19010456"
"Golsa","No registra","Mezcla de goma xántica y goma guar, aditivo espesante libre de gluten","02-574705"
"Golsa","No registra","Mezcla de goma xántica y goma guar, aditivo espesante - Libre de gluten","02 - 603069"
"La Campagnola","Pulpa de naranja AB","Pulpa de naranja con trozos de cascara – Libre de gluten – Uso industrial exclusivo","13044489"
"La Campagnola","No registra","Pulpa de membrillo sulfitado – Libre de gluten – Uso industrial exclusivo","13044488"
"La Campagnola","Pulpa A/B duraznos","Pulpa de duraznos con trozos – Libre de gluten – uso industria exclusivo","13044756"
"La Campagnola","Pulpa A/B damascos","Pulpa de damascos con trozos – Libre de gluten – Uso industrial exclusivo","13044755"
"La Campagnola","No registra","Pulpa concentrada de peras 30/32º Brix – Libre de gluten – Uso industrial exclusivo","13027847"
"La Campagnola","Pulpa de pera A","Pulpa concentrada de pera 30-32º Brix – Libre de gluten – Uso industrial exclusivo","13044485"
"La Campagnola","Pulpa de manzana A","Pulpa concentrada de manzana 30-32º Brix – Libre de gluten – Uso industrial exclusivo","13044487"
"La Campagnola","Pulpa de durazno A","Pulpa concentrada de durazno 30-32º Brix – Libre de gluten – Uso industrial exclusivo","13044486"
"La Campagnola","Pulpa de damasco “A”","Pulpa concentrada de damasco 30-32° Brix – Libre de gluten – Uso industrial exclusivo","13044785"
"La Campagnola","Pulpa de ciruela “A”","Pulpa concentrada de ciruela 30-32° Brix – Libre de gluten","13044784"
"La Campagnola","Jugo concentrado de membrillo","Jugo concentrado de membrillo 59-62º Bx – Libre de gluten – Uso industrial exclusivo","13044484"
"La Campagnola","Pera orgánica 12 a 16ºbx","Pulpa de pera orgánica 12 a 16º Brix-libre de gluten - Uso industrial exclusivo","13045663"
"La Campagnola","Pera orgánica 30-32ºbx","Pulpa concentrada de pera orgánica 30-32º Brix-libre de gluten - Uso industrial exclusivo","13045664"
"La Campagnola","No registra","Pulpa concentrada de duraznos 30/32º Brix - Libre de gluten - Uso industrial exclusivo","13025460"
"La Campagnola","No registra","Pulpa concentrada de damasco 30/32º Bx - Libre de gluten - Uso industrial exclusivo","13025458"
"La Campagnola","No registra","Pulpa concentrada de ciruela 30/32º Bx - Libre de gluten - Uso industrial exclusivo","13025459"
"La Campagnola","No registra","Extracto doble de tomate - Libre de gluten - Uso industrial exclusivo","13025457"
"La Loma","No registra","Arándano congelado – Libre de gluten","23038474"
"La Loma","La Loma","Durazno congelado libre de gluten – Sin TACC","23038514"
"La Loma","No registra","Frutilla congelada – Libre de gluten","23035140"
"La Primera","No registra","Albúmina de huevo en polvo desglucosada libre de gluten","1734/87410/2"
"La Primera","No registra","Huevo entero en polvo libre de gluten","1734/75129/1"
"La Primera","No registra","Huevo entero en polvo libre de gluten","1734/75129/2"
"La Primera","No registra","Huevo líquido pasteurizado libre de gluten","1734/36882/1"
"La Primera","No registra","Huevo líquido salado  pasteurizado libre de gluten","1734/50490/1"
"La Primera","No registra","Yema de huevo en polvo libre de gluten","1734/17358/1"
"La Primera","No registra","Yema de huevo en polvo libre de gluten","1734/17358/2"
"La Primera","No registra","Yema de huevo en polvo libre de gluten","1734/17358/3"
"La Primera","No registra","Yema de huevo líquida pasteurizada libre de gluten","1734/35143/1"
"La Serenísima","No registra","Concentrado de proteínas de suero en polvo (WPC-35). Libre de gluten","02-530254"
"La Serenísima","No registra","Concentrado de suero parcialmente desmineralizado (WPC-50). Libre de gluten","02-590057"
"La Serenísima","No registra","Permeado de suero de queso en polvo - Libre de gluten","02-586897"
"La Serenísima","No registra","Suero de queso en polvo - Libre de gluten","02-587086"
"La Serenísima","No registra","Concentrado de suero de queso en polvo - Concentrado de proteínas de suero de queso en polvo parcialmente desmineralizado - Libre de gluten. (WPC-35)","02-554697"
"La Serenísima","No registra","Suero de manteca en polvo - Libre de gluten","02-509863"
"Leitesol","No registra","Suero de queso en polvo parcialmente desmineralizado (40%) no higroscópico - Libre de gluten","02-509862"
"Lodiser","No registra","Fruta escurrida - Uso industrial exclusivo - Libre de gluten","13040331"
"Mamuschka","Puro sin azúcar","Licor de cacao de bajo valor glucídico libre de gluten","16009658"
"Mamuschka","Cascarilla de cacao libre de gluten","Cascarilla de cacao libre de gluten","16010434"
"MF","No registra","Alcohol etílico 96ª - Uso alimentario - Libre de gluten","02-564360"
"Nature Gum","Goma espina corona libre de gluten","Goma espina corona libre de gluten","06002960"
"Nature Gum","Goma guar libre de gluten","Goma guar libre de gluten","06002959"
"Neofarms","Arroz integral tipo corto japonés, calidad 00000, orgánico. Libre de gluten","Arroz integral tipo corto japones cal. 00000 orgánico libre de gluten. Uso industrial exclusivo","025/08003948-3-7/021"
"Neofarms","Arroz integral tipo largo fino calidad 00000 orgánico libre de gluten sin tacc uso industrial exclusivo","Arroz integral tipo largo fino calidad 00000 orgánico libre de gluten. Uso industrial exclusivo","025/08003948-3-7/023"
"Neofarms","Arroz integral tipo mediano calidad 00000 orgánico yamaní libre de gluten. Uso industrial exclusivo","Arroz integral tipo mediano cal. 00000 orgánico libre de gluten. Uso industrial exclusivo","025/08003948-3-7/019"
"Neofarms","Arroz pulido tipo corto japonés, calidad 00000, orgánico. Libre de gluten. Uso industrial exclusivo","Arroz pulido tipo corto japones cal. 00000 orgánico libre de gluten. Uso industrial exclusivo","025/08003948-3-7/022"
"Neofarms","Arroz pulido tipo largo fino, calidad 00000, orgánico libre de gluten. Uso industrial exclusivo","Arroz pulido tipo largo fino cal. 00000 orgánico libre de gluten uso industrial exclusivo","025/08003948-3-7/018"
"Neofarms","Arroz pulido tipo mediano calidad 00000, orgánico. Uso recomendado para preparación de sushi y risottos. Libre de gluten. Uso industrial exclusivo","Arroz pulido tipo mediano cal. 00000 orgánico libre de gluten. Uso industrial exclusivo","025/08003948-3-7/020"
"Neofarms","Arroz para sushi","Arroz pulido tipo mediano calidad 00000 libre de gluten uso industrial exclusivo","025/08003948-3-7/025"
"No registra","No registra","Arroz quebrado pulido tipo largo ancho. Libre de gluten uso industrial alimentario","025/080000442-7/022"
"No registra","No registra","Arroz quebrado pulido tipo largo fino. Libre de gluten uso industrial alimentario","025/080000442-7/024"
"No registra","No registra","Arroz parboil tipo grano largo fino calidad 00000, uso industrial alimentario. Libre de gluten","025/080000442-7/027"
"Nutentar – Medium - Chain Lipids","No registra","Triglicéridos de cadena media en polvo - Libre de gluten","02-600146"
"Onza de Oro","No registra","Goma xántica libre de gluten","02-586639"
"Ovofood","No registra","Albúmina de huevo en polvo desglucosada libre de gluten","1734/8104300/1"
"Ovofood","No registra","Yema de huevo en polvo libre de gluten","1734/104298/1"
"Ovofood","No registra","Yema de huevo en polvo libre de gluten","1734/104302/1"
"Pérgola","No registra","Aromatizante artificial sabor coco Libre de gluten.","02 - 603355"
"Pérgola","No registra","Saborizante idéntico al natural manteca - Libre de gluten.","02 - 603351"
"Pérgola","No registra","Solución hidroalcohólica de esencia artificial de azahar - Libre de gluten.","02 - 603352"
"Pérgola","No registra","Saborizante idéntico al natural sabor limón (emulsión). Libre de gluten.","02 - 603354"
"Pérgola.","No registra","Aromatizante / saborizante artificial sabor panettone (líquido) - Libre de gluten.","02 - 603353"
"Primogel","Química Palumbo","Colorante para arroz - Libre de gluten","13045873"
"Primogel","Química Palumbo","Esencia artificial de vainilla - Libre de gluten (solución)","13046016"
"Primogel","Química Palumbo","Polvo para hornear - Libre de gluten","13046199"
"Química Palumbo","Primogel","Alimento dietético a base de stevia libre de gluten","13046357"
"Química Palumbo","Primogel","Goma xántica - aditivo alimentario - Uso industrial exclusivo - Libre de gluten","13045406"
"Química Palumbo","Primogel","Mezcla espesante, estabilizante y emulsionante en pasta aditivo alimentario - Uso industrial exclusivo - Libre de gluten","13045556"
"Química Palumbo","Primogel","Sorbato de potasio - aditivo alimentario - Uso industrial exclusivo - Libre de gluten","13045741"
"Uso Industrial","No registra","Arroz pulido tipo largo fino calidad 0000 libre de gluten uso industrial alimenticio","025/080000442-7/030"
"Uso Industrial","No registra","Harina de arroz libre de gluten uso industrial alimentario","025/080000442-7/029"
"Vacalin","No registra","Leche entera en polvo - Libre de gluten. Uso industrial exclusivo","02-552415"
"Vacalin","No registra","Suero de queso en polvo parcialmente desmineralizado, libre de gluten","02-552815"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten","02-593738"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten  (40 %) uso industrial exclusivo","02-601034"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten (35 %) uso industrial exclusivo.","02-601014"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten (45%) uso industrial exclusivo","02-601035"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten (50%) uso industrial exclusivo","02-601036"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten (60%) uso industrial exclusivo.","02-601015"
"Vacalin","No registra","Concentrado de suero de queso obtenido por ultrafiltración - Libre de gluten (80%) uso industrial exclusivo","02-601037"
"Vacalin","No registra","Masa para elaborar queso mozzarella - Libre de gluten","02-560005"
"Día %","No registra","Agua mineralizada artificialmente sin gas, bajo sodio - Libre de gluten","02-600490"
"Perrier","No registra","Agua mineral natural reforzada con gas procedente del mismo manantial - Libre de gluten","13025715"
"Abucel","No registra","Alfajores rellenos con dulce de leche recubiertos con baño de respostería - Libre de gluten","02-608762"
"Aglu","No registra","Alfajores rellenos con dulce de leche cubiertos con baño de repostería - Libre de gluten","02-570800"
"Amaratotto","No registra","Alfajor de arroz  con relleno tipo mousse sabor dulce de leche cubierto con baño de repostería semiamargo - Libre de gluten","02-595948"
"Amaratotto","No registra","Alfajor de arroz con relleno tipo mousse sabor limón, cubierto con baño de repostería semiamargo - Libre de gluten","02-595982"
"Arrozen","No registra","Alfajor de arroz relleno con dulce de leche con baño de repostería. Libre de gluten","02-586216"
"Arte Sano sin T.A.C.C.","Alfajor de almidón de maíz con dulce de leche libre de gluten","Alfajor de almidón de maíz con dulce de leche libre de gluten","07005913"
"Átomo","Alfajores de almidón de maíz","Alfajor de almidón de maíz relleno con dulce de leche – Libre de gluten","13036270"
"Body Vida","No registra","Galleta de arroz yamaní integral rellena con mousse de dulce de leche con cobertura de chocolate - Libre de gluten","02-568426"
"Body Vida","No registra","Galletas de arroz rellenas con mousse de dulce de leche con cobertura de chocolate blanco tipo alfajor - Libre de gluten","02-567824"
"Cabaña","No registra","Alfajor bañado con chocolate, relleno- Libre de gluten","02-588842"
"Cachafaz","No registra","Alfajor de arroz relleno con mousse de dulce de leche con cobertura de chocolate, libre de gluten","02-569640"
"Cachafaz","No registra","Alfajor de arroz relleno con mousse de limón con cobertura de chocolate - Libre de gluten","02-567785"
"Cachafaz","No registra","Galletas de arroz rellenas con crema de café con chocolate con cobertura de chocolate tipo alfajor - Libre de gluten","02-567825"
"Cachafaz","No registra","Galletas de arroz rellenas con crema de maní con cobertura de chocolate tipo alfajor - Libre de gluten","02-568427"
"Cachafaz","No registra","Alfajor de arroz relleno con mousse de chocolate con cobertura de chocolate blanco - Libre de gluten","02-567823"
"Café Martínez","No registra","Alfajor de nuez relleno con dulce de leche - Libre de gluten","02-585588"
"Café Martínez","No registra","Alfajor relleno con dulce de leche - Libre de gluten","02-585587"
"Café Martínez","No registra","Alfajor de dulce de leche - Libre de gluten","02-561826"
"Celiclub","Alfajor de maicena","Alfajor de almidón de maíz relleno de dulce de leche – Libre de gluten","13040711"
"Cereal Mix","No registra","Alfajor de arroz relleno a base de dulce de leche con baño de repostería. Libre de gluten","02-584688"
"Cereal Mix - Alfajor de arroz sabor a chocolate","No registra","Alfajor de arroz relleno sabor chocolate con baño de repostería libre de gluten","02-586190"
"Cereal Mix - Alfajor de arroz sabor limón","No registra","Galletas de arroz con relleno sabor limón con baño de repostería tipo alfajor libre de gluten","02-584540"
"Charinut","No registra","Galleta de arroz con quínoa dietética rellena con sabor dulce de leche cubierta con baño de repostería semiamargo – Tipo alfajor - Libre de gluten","02-584666"
"Charinut - Quínoa y arroz relleno con mousse de limón","No registra","Alfajor de arroz dietético con relleno sabor limón y quínoa cubierto con baño de repostería semiamargo - Libre de gluten","02-582514"
"Chocoarroz","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería semiamargo – Libre de gluten","02-583011"
"Chocoarroz","No registra","Alfajor de arroz con relleno tipo mousse de chocolate con baño de repostería con leche - Libre de gluten","02-589090"
"Chocoarroz","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería sabor y color dulce de leche. Libre de gluten","02-583080"
"Chocoarroz","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería blanco - Libre de gluten","02-583012"
"Chocoarroz","No registra","Alfajor de arroz con relleno sabor limón cubierto con baño de repostería semiamargo - Libre de gluten","02-583009"
"Chocoarroz","No registra","Alfajor de arroz con relleno con maní cubierto con baño de repostería con leche - Libre de gluten","02-595726"
"Chocoarroz","No registra","Alfajor de arroz con relleno con maní cubierto con baño de repostería semiamargo. Libre de gluten","02-588858"
"Chocoarroz","No registra","Alfajor de arroz con relleno con maní cubierto con baño de repostería con leche - Marroc libre de gluten","02-603014"
"Chocoarroz","No registra","Alfajor de arroz con relleno sabor limón cubierto con baño de repostería semiamargo - Libre de gluten - Limón","02-603420"
"Chocoarroz","No registra","Alfajor de arroz relleno con dulce de leche cubierto con baño de repostería semiamargo - Dulce de leche - Libre de gluten","02-603015"
"Chocoarroz","No registra","Alfajor de arroz con relleno con dulce de leche cubierto con baño de repostería fantasía blanco con sabor a vainilla – Blanco - Dulce de leche - Libre de gluten","02-605926"
"Chocoleit","No registra","Alfajor de chocolate dietético relleno con dulce de leche cubierto con chocolate – Sin azúcar agregada – Libre de gluten","02-581550"
